year,name,yob,district,list_state,list_position,occupation,birthplace,party_wiki_id,party_name_short,party_name_full
2002,"Bachmann, Iris",1947,187,HE,9,NA,NA,Q49766,GRÜNE,BÜNDNIS 90/DIE GRÜNEN
2002,"Bachmann, Max",1945,NA,BY,7,NA,NA,Q269316,REP,Die Republikaner
2002,"Bachmann, Rainer Konrad",1950,1,NA,NA,NA,NA,Q152554,PDS,Partei des Demokratischen Sozialismus
2002,"Bachmann, Torsten",1973,NA,SN,8,NA,NA,Q152554,PDS,Partei des Demokratischen Sozialismus
2002,"Backes, Veronika",1956,NA,HE,25,NA,NA,Q49762,CDU,Christlich Demokratische Union Deutschlands
2002,"Bader, Woldemar",1949,NA,SH,13,NA,NA,Q13124,FDP,Freie Demokratische Partei
2002,"Bäcker, Klaus Günter",1940,104,NA,NA,NA,NA,Q487386,PBC,Partei Bibeltreuer Christen
2002,"Bähr, Manfred",1959,71,SN-Anhalt,3,NA,NA,Q13124,FDP,Freie Demokratische Partei
2002,"Bär, Eugen",1930,284,NA,NA,NA,NA,NA,Anderer KWV,NA
2002,"Bärwolff, Heike",1961,NA,TH,15,NA,NA,Q49768,SPD,Sozialdemokratische Partei Deutschlands
2002,"Bätzing, Sabine",1975,200,RP,15,NA,NA,Q49768,SPD,Sozialdemokratische Partei Deutschlands
2002,"Bäuerle, Rolf",1964,27,NA,NA,NA,NA,NA,Anderer KWV,NA
2002,"Bagdonat, Kai",1960,42,NA,NA,NA,NA,Q457217,Schill,Schill-Partei
2002,"Bahner, Bertold",1936,NA,SL,8,NA,NA,Q13124,FDP,Freie Demokratische Partei
2002,"Bahr, Daniel",1976,130,NW,13,NA,NA,Q13124,FDP,Freie Demokratische Partei
2002,"Bahr, Ernst Alfred",1945,56,BB,3,NA,NA,Q49768,SPD,Sozialdemokratische Partei Deutschlands
2002,"Baier, Klaus Jürgen Hans",1960,166,SN,8,NA,NA,Q156019,NPD,Nationaldemokratische Partei Deutschlands
2002,"Baier, Werner",1946,NA,BW,59,NA,NA,Q49762,CDU,Christlich Demokratische Union Deutschlands
2002,"Baireuther, Markus",1959,NA,NW,1,NA,NA,Q27478498,HP,Humanistische Partei
2002,"Balansky, Michaela",1962,98,NA,NA,NA,NA,Q49766,GRÜNE,BÜNDNIS 90/DIE GRÜNEN
2002,"Baldauf, Denise",1981,NA,SL,12,NA,NA,Q13124,FDP,Freie Demokratische Partei
2002,"Baldauf, Jochen",1963,52,NA,NA,NA,NA,Q49766,GRÜNE,BÜNDNIS 90/DIE GRÜNEN
2002,"Baldauf, Manfred",1952,NA,SL,4,NA,NA,Q13124,FDP,Freie Demokratische Partei
2002,"Baldus, Stefan",1949,191,TH,9,NA,NA,Q49762,CDU,Christlich Demokratische Union Deutschlands
2002,"Balkenhol, Herbert Karl Josef",1955,140,NA,NA,NA,NA,Q148861,DKP,Deutsche Kommunistische Partei
2002,"Balt, Monika",1951,64,BB,7,NA,NA,Q152554,PDS,Partei des Demokratischen Sozialismus
2002,"Bamberger, Dieter",1966,NA,HE,13,NA,NA,Q457217,Schill,Schill-Partei
2002,"Bambini-Adam, Cornelia",1963,NA,BW,51,NA,NA,Q49762,CDU,Christlich Demokratische Union Deutschlands
2002,"Bandel, Günther",1926,NA,BE,2,NA,NA,Q148861,KPD,Deutsche Kommunistische Partei
2002,"Bannasch, Karl-Heinz Werner",1959,79,NA,NA,NA,NA,Q13124,FDP,Freie Demokratische Partei
2002,"Barczik, Peter",1933,NA,SN-Anhalt,1,NA,NA,Q492561,Tierschutz,Tierschutzpartei
2002,"Barkow, Boris",1966,37,NI,4,NA,NA,Q457217,Schill,Schill-Partei
2002,"Barnett, Doris",1953,210,RP,2,NA,NA,Q49768,SPD,Sozialdemokratische Partei Deutschlands
2002,"Barteit, Lars",1974,NA,BW,40,NA,NA,Q49768,SPD,Sozialdemokratische Partei Deutschlands
2002,"Bartel, Margit",1930,NA,BW,14,NA,NA,Q269316,REP,Die Republikaner
2002,"Bartels, Dr. Hans Peter",1961,5,SH,7,NA,NA,Q49768,SPD,Sozialdemokratische Partei Deutschlands
2002,"Bartels, Michael Eberhard Andreas",1975,NA,HB,6,NA,NA,Q49762,CDU,Christlich Demokratische Union Deutschlands
2002,"Barth, Sophie",1939,NA,SN,10,NA,NA,Q49762,CDU,Christlich Demokratische Union Deutschlands
2002,"Barth-Völkel, Wolfgang Hans",1954,NA,HH,2,NA,NA,Q457217,Schill,Schill-Partei
2002,"Barthel, Eckardt",1939,82,NA,NA,NA,NA,Q49768,SPD,Sozialdemokratische Partei Deutschlands
2002,"Barthel, Klaus",1955,225,BY,21,NA,NA,Q49768,SPD,Sozialdemokratische Partei Deutschlands
2002,"Barthle, Norbert",1952,270,NA,NA,NA,NA,Q49762,CDU,Christlich Demokratische Union Deutschlands
2002,"Bartol, Sören",1974,173,HE,21,NA,NA,Q49768,SPD,Sozialdemokratische Partei Deutschlands
2002,"Bartsch, Dr. Dietmar",1958,13,MV,1,NA,NA,Q152554,PDS,Partei des Demokratischen Sozialismus
2002,"Barz, Silvia",1953,NA,RP,28,NA,NA,Q49768,SPD,Sozialdemokratische Partei Deutschlands
2002,"Bas, Bärbel",1968,NA,NW,36,NA,NA,Q49768,SPD,Sozialdemokratische Partei Deutschlands
2002,"Baseler, Lothar",1935,24,HH,3,NA,NA,Q156019,NPD,Nationaldemokratische Partei Deutschlands
2002,"Bastl, Herbert",1953,NA,BW,17,NA,NA,Q269316,REP,Die Republikaner
2002,"Bauch, Annegret",1958,NA,HE,46,NA,NA,Q49762,CDU,Christlich Demokratische Union Deutschlands
